order_id,order_date,ship_date,ship_mode,customer_name,segment,region,state,product_name,category,sub_category,sales,quantity,discount,profit,year,month,profit_margin,discount_category,,,,,,,,,,
CA-2017-140326,9/4/2017,9/6/2017,First Class,Helen Wasserman,Corporate,West,Washington,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.17,9.00,0.30,-117.88,2017,Sep,-14.29%,Medium Discount,,,,,,,,,,
CA-2015-130785,9/5/2015,9/9/2015,Standard Class,Arthur Gainer,Consumer,West,Wisconsin,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,411.33,4.00,0.15,-4.84,2015,Sep,-1.18%,Low Discount,,,,,,,,,,
CA-2014-105249,11/28/2014,11/28/2014,Same Day,Duane Huffman,Home Office,West,Virginia,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,411.33,4.00,0.15,-4.84,2014,Nov,-1.18%,Low Discount,,,,,,,,,,
CA-2017-125472,5/30/2017,5/31/2017,First Class,Bruce Degenhardt,Consumer,West,Ohio,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,241.96,2.00,0.00,33.87,2017,May,14.00%,No Discount,,,,,,,,,,
CA-2015-118423,3/24/2015,3/27/2015,First Class,Dennis Pardue,Home Office,West,Wisconsin,Sauder Inglewood Library Bookcases,Furniture,Bookcases,359.06,3.00,0.30,-35.91,2015,Mar,-10.00%,Medium Discount,,,,,,,,,,
CA-2014-156349,5/26/2014,5/30/2014,Standard Class,Marina Lichtenstein,Corporate,West,Washington,Sauder Inglewood Library Bookcases,Furniture,Bookcases,290.67,2.00,0.15,27.36,2014,May,9.41%,Low Discount,,,,,,,,,,
CA-2016-165848,6/4/2016,6/4/2016,Same Day,Edward Nazzal,Consumer,East,Texas,Sauder Inglewood Library Bookcases,Furniture,Bookcases,136.78,1.00,0.20,5.13,2016,Jun,3.75%,Low Discount,,,,,,,,,,
US-2014-123183,11/19/2014,11/25/2014,Standard Class,Georgia Rosenberg,Corporate,West,Delaware,Sauder Inglewood Library Bookcases,Furniture,Bookcases,1025.88,6.00,0.00,235.95,2014,Nov,23.00%,No Discount,,,,,,,,,,
CA-2014-133592,12/31/2014,1/7/2015,Standard Class,Katherine Murray,Home Office,West,Virginia,Sauder Inglewood Library Bookcases,Furniture,Bookcases,341.96,2.00,0.00,78.65,2014,Dec,23.00%,No Discount,,,,,,,,,,
CA-2017-161200,8/6/2017,8/10/2017,Second Class,Seth Vernon,Consumer,West,Texas,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,145.74,3.00,0.00,23.32,2017,Aug,16.00%,No Discount,,,,,,,,,,
CA-2015-168480,9/21/2015,9/27/2015,Standard Class,Dario Medina,Corporate,West,Texas,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,194.32,4.00,0.00,31.09,2015,Sep,16.00%,No Discount,,,,,,,,,,
CA-2017-116946,12/19/2017,12/23/2017,Standard Class,Tony Sayre,Consumer,West,Tennessee,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,102.02,7.00,0.70,-183.63,2017,Dec,-179.99%,High Discount,,,,,,,,,,
US-2016-166660,1/30/2016,2/1/2016,Second Class,Tim Brockman,Consumer,West,Washington,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,48.58,1.00,0.00,7.77,2016,Jan,15.99%,No Discount,,,,,,,,,,
CA-2017-126914,6/15/2017,6/19/2017,Standard Class,Joe Elijah,Consumer,West,Washington,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,77.73,2.00,0.20,-3.89,2017,Jun,-5.00%,Low Discount,,,,,,,,,,
CA-2014-156790,8/8/2014,8/10/2014,Second Class,Vivek Gonzalez,Consumer,West,Washington,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,155.46,4.00,0.20,-7.77,2014,Aug,-5.00%,Low Discount,,,,,,,,,,
